,company_name,company_url,0
0,,,نتواریوم
1,,,https://jobinja.ir/companies/netuarium
2,,,آدلاس
3,,,https://jobinja.ir/companies/adlas
4,,,کارگزاری هامرز
5,,,https://jobinja.ir/companies/hummers-broker-co
6,,,درنیکا
7,,,https://jobinja.ir/companies/dornica-4
8,,,بهینه سازان سرزمین هوشمند
9,,,https://jobinja.ir/companies/smart-land-optimizers
10,,,مرکز گسترش اینترنت اشیا ایران
11,,,https://jobinja.ir/companies/iran-iot-expention-center
12,,,سفرهای کیش
13,,,https://jobinja.ir/companies/safarhaye-kish
14,,,مینی کالا
15,,,https://jobinja.ir/companies/minikala
