Company Name (EN),Company Name (FA),Website,Company URL,Lower Employee Count,Upper Employee Count,Business Area,Founded Year
DORNICA,درنیکا,http://dornica.net,https://jobinja.ir/companies/dornica-4,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1388
Hummers Broker Co,کارگزاری هامرز,https://hbc.ir,https://jobinja.ir/companies/hummers-broker-co,11,50,مالی و اعتباری,1401
Smart Land Optimizers,بهینه سازان سرزمین هوشمند,http://sarzaminhooshmand.com,https://jobinja.ir/companies/smart-land-optimizers,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1401
Netuarium,نتواریوم,http://netuarium.ir/,https://jobinja.ir/companies/netuarium,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1398
Iran IoT Expention Center,مرکز گسترش اینترنت اشیا ایران,http://iotbiz.ir,https://jobinja.ir/companies/iran-iot-expention-center,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Safarhaye Kish,سفرهای کیش,http://ttgroup.ir,https://jobinja.ir/companies/safarhaye-kish,501,1000,گردشگری و هتل‌ها,1384
Minikala,مینی کالا,https://minikala.net/,https://jobinja.ir/companies/minikala,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Arman Persian Middle-East,موسسه آرمان پرشین خاورمیانه,http://www.myarman.com,https://jobinja.ir/companies/myarman-1,51,200,آموزش، مدارس و دانشگاه‌ها,1385
Digitoon,دیجیتون,https://www.digitoon.tv,https://jobinja.ir/companies/digitoon,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Bitbarg,بیت برگ,https://bitbarg.com/,https://jobinja.ir/companies/bitbarg,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1397
Afradoor,افرادرب,http://afradoor.group,https://jobinja.ir/companies/afradoor-2,51,200,تولید و صنایع,1383
Baman,بامن,https://baman.club,https://jobinja.ir/companies/baman-2,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Mad Amvaj Ariya,ماد امواج آریا,https://mad-amvaj.com/,https://jobinja.ir/companies/madamvajariya,51,200,واردات و صادرات,1393
Soroush Afzar Iranian,سروش افزار ایرانیان,https://soroushafzar.com,https://jobinja.ir/companies/sorush-afzar-iranian-1,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1395
Arka Tejarat,آرکا تجارت,http://arkatejaratbiston.ir/,https://jobinja.ir/companies/arka-tejarat,51,200,تولید و صنایع,1398
SnappShop,اسنپ شاپ,http://SnappShop.ir,https://jobinja.ir/companies/snappshop,201,500,کامپیوتر، فناوری اطلاعات و اینترنت,1398
TechX,اشترن ایکس تکنولوژی,https://sternx.de,https://jobinja.ir/companies/sternx,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,2021
Berooz Resaan,به روز رسان,http://beroozresaan.com,https://jobinja.ir/companies/beroozresaan-2,201,500,خرده‌فروشی، عمده‌فروشی و فروشگاه‌های زنجیره‌ای,1397
Bidarz,بیدارز,https://www.bidarz.ir,https://jobinja.ir/companies/bidarz,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1392
Bit Max,بیتمکس,https://bitmax.ir/,https://jobinja.ir/companies/wonderlend,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1400
Borna Del,برنادل,https://bornadel.academy/,https://jobinja.ir/companies/abarsayande-1,11,50,آموزش، مدارس و دانشگاه‌ها,1399
Booran Market,بوران مارکت,https://booranmarket.com/,https://jobinja.ir/companies/booranmarket,N/A,N/A,کامپیوتر، فناوری اطلاعات و اینترنت,N/A
Rastafann,رستافن,http://www.rastafann.com,https://jobinja.ir/companies/rastafann,501,1000,مخابرات و ارتباطات (تلکام),1377
Xaniis,زانیس,https://www.xaniis.com,https://jobinja.ir/companies/xanis,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Zeero,زی‌رو,http://zeero.ir,https://jobinja.ir/companies/zeero,11,50,کامپیوتر، فناوری اطلاعات و اینترنت,1400
Bitpin,بیت‌ پین,https://bitpin.ir/,https://jobinja.ir/companies/bitpin,51,200,کامپیوتر، فناوری اطلاعات و اینترنت,1399
Aprico,بین المللی پترو پالایش ابوالفارس,http://www.apricoil.com,https://jobinja.ir/companies/aprico,501,1000,نفت و گاز,1399
