,company_name,company_url
0,نتواریوم,https://jobinja.ir/companies/netuarium
1,آدلاس,https://jobinja.ir/companies/adlas
2,کارگزاری هامرز,https://jobinja.ir/companies/hummers-broker-co
3,درنیکا,https://jobinja.ir/companies/dornica-4
4,بهینه سازان سرزمین هوشمند,https://jobinja.ir/companies/smart-land-optimizers
5,مرکز گسترش اینترنت اشیا ایران,https://jobinja.ir/companies/iran-iot-expention-center
6,سفرهای کیش,https://jobinja.ir/companies/safarhaye-kish
7,مینی کالا,https://jobinja.ir/companies/minikala
8,دیجیتون,https://jobinja.ir/companies/digitoon
9,موسسه آرمان پرشین خاورمیانه,https://jobinja.ir/companies/myarman-1
10,بیت برگ,https://jobinja.ir/companies/bitbarg
11,بامن,https://jobinja.ir/companies/baman-2
12,افرادرب,https://jobinja.ir/companies/afradoor-2
13,آرکا تجارت,https://jobinja.ir/companies/arka-tejarat
14,ماد امواج آریا,https://jobinja.ir/companies/madamvajariya
15,اسنپ شاپ,https://jobinja.ir/companies/snappshop
16,سروش افزار ایرانیان,https://jobinja.ir/companies/sorush-afzar-iranian-1
17,به روز رسان,https://jobinja.ir/companies/beroozresaan-2
18,اشترن ایکس تکنولوژی,https://jobinja.ir/companies/sternx
19,بیدارز,https://jobinja.ir/companies/bidarz
20,توسعه نرم‌افزار الگوریتم,https://jobinja.ir/companies/algorithm-software-development
21,بیتمکس,https://jobinja.ir/companies/wonderlend
22,بوران مارکت,https://jobinja.ir/companies/booranmarket
23,برنادل,https://jobinja.ir/companies/abarsayande-1
24,کیان فناور رامند,https://jobinja.ir/companies/ramand-computer-group
25,زانیس,https://jobinja.ir/companies/xanis
26,رستافن,https://jobinja.ir/companies/rastafann
27,آتا تجارت سلوط,https://jobinja.ir/companies/ata-tejarat-soloot-1
28,اکسون,https://jobinja.ir/companies/axon-9
29,بیت‌ پین,https://jobinja.ir/companies/bitpin
30,بین المللی پترو پالایش ابوالفارس,https://jobinja.ir/companies/aprico
31,زی‌رو,https://jobinja.ir/companies/zeero
32,نوین دو,https://jobinja.ir/companies/novin-dev
33,سیزپی,https://jobinja.ir/companies/sizpay-1
34,توریک,https://jobinja.ir/companies/safar-touran
35,همراه فلز,https://jobinja.ir/companies/hamrahfelez
36,ترنا سیستم,https://jobinja.ir/companies/tornasystem
37,داریا همراه پایتخت,https://jobinja.ir/companies/daira-hamrah
38,گروه وبجار,https://jobinja.ir/companies/Webjar
39,آهن رسان,https://jobinja.ir/companies/ahanresan-2
40,فناوران کوشای صدرا,https://jobinja.ir/companies/alvand-8
41,هواپیمایی ایران ایرتور,https://jobinja.ir/companies/iran-airtour-airlines-1
42,هلدینگ آفرینش,https://jobinja.ir/companies/afarinesh-holding
43,گروه دایان,https://jobinja.ir/companies/dayangrp
44,تریبون,https://jobinja.ir/companies/triboon
45,بیتکس,https://jobinja.ir/companies/bitex-1
46,نبکا,https://jobinja.ir/companies/nebka-1
47,همتاپی,https://jobinja.ir/companies/hamtapay-1
48,ابر دراک,https://jobinja.ir/companies/derak-cloud
49,پلاتین ایران,https://jobinja.ir/companies/platiniran
50,آلیاسیس ارتباط,https://jobinja.ir/companies/aliasys-1
51,هلدینگ شکوه جاوید ایرانیان,https://jobinja.ir/companies/transiva-investment
52,گروه مالی دانایان,https://jobinja.ir/companies/danayanpars
53,تترلند,https://jobinja.ir/companies/tetherland
54,پزشک 24,https://jobinja.ir/companies/pezeshk24
55,کارگزاری حافظ,https://jobinja.ir/companies/hafez-brokerage-company
56,هومکا,https://jobinja.ir/companies/homeca-1
57,کارآفرینی سرمایه پرداز نارون,https://jobinja.ir/companies/narvan-venture-builder
58,داهی بنداد,https://jobinja.ir/companies/dahi-bondad
59,اچ دی ام,https://jobinja.ir/companies/hdmarketing
60,ابرناک,https://jobinja.ir/companies/abrnoc
61,آهن چی,https://jobinja.ir/companies/ahanchee
62,ژیوار,https://jobinja.ir/companies/zhivar-6
63,مهد لوله امروز (کارآهن),https://jobinja.ir/companies/mahd-looleh-emruz
64,همراه کسب و کارهای هوشمند,https://jobinja.ir/companies/intelligent-business-companion
65,فینوتک پارس,https://jobinja.ir/companies/finnotech-1
66,دوندگان هوشمند جاوید,https://jobinja.ir/companies/smart-runners
67,پینورست,https://jobinja.ir/companies/pinorest
68,محتوا پردازان هشتم,https://jobinja.ir/companies/ishia-developers
69,لیا سرویس,https://jobinja.ir/companies/liaservices
70,تسهیل کار,https://jobinja.ir/companies/vafa-3
71,پیشگامان فناوری اطلاعات سگال,https://jobinja.ir/companies/segal-7
72,توسعه ابزار بازار سرمایه,https://jobinja.ir/companies/saham-land
73,پنکو,https://jobinja.ir/companies/payam-negar-tandis-lyan
74,زبانشناس,https://jobinja.ir/companies/zabanshenas
75,توسعه و نوآوری شهر,https://jobinja.ir/companies/toseea-va-noavari-shahr
76,امن بان,https://jobinja.ir/companies/amnban
77,زرکابل کرمان,https://jobinja.ir/companies/zarcable-kerman
78,فیلیمو,https://jobinja.ir/companies/filimo
79,آهن نت,https://jobinja.ir/companies/ahannet-1
80,نظارت گستر ایمن,https://jobinja.ir/companies/nezarat-gostar-imen
